freq;indic_de;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019
A;TOTFERRT;AD,1.25 ,1.19 ,1.27 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
A;TOTFERRT;AL,1.58 ,1.63 ,1.63 ,1.65 ,1.71 ,1.73 ,1.73 ,1.59 ,1.54 ,1.48 ,1.37 ,: 
A;TOTFERRT;AM,1.43 ,1.53 ,: ,: ,: ,: ,: ,1.62 ,1.62 ,1.56 ,1.57 ,1.60 
A;TOTFERRT;AT,1.42 ,1.39 ,1.44 ,1.43 ,1.44 ,1.44 ,1.46 ,1.49 ,1.53 ,1.52 ,1.47 ,1.46 
A;TOTFERRT;AZ,1.90 ,1.82 ,1.92 ,: ,2.00 ,1.98 ,1.97 ,1.94 ,1.90 ,1.75 ,1.73 ,1.81 
A;TOTFERRT;BE,1.85 ,1.84 ,1.86 ,1.81 b,1.80 ,1.76 ,1.74 ,1.70 ,1.68 ,1.65 ,1.62 ,1.58 
A;TOTFERRT;BG,1.56 ,1.66 ,1.57 ,1.51 ,1.50 ,1.48 ,1.53 ,1.53 ,1.54 ,1.56 ,1.56 ,1.58 
A;TOTFERRT;BY,1.42 ,: ,: ,1.51 ,1.62 ,1.67 ,1.70 ,1.72 ,1.73 ,1.54 ,1.45 ,: 
A;TOTFERRT;CH,1.48 ,1.50 ,1.52 ,1.52 b,1.52 ,1.52 ,1.54 ,1.54 ,1.54 ,1.52 ,1.52 ,1.48 
A;TOTFERRT;CY,1.48 ,1.47 ,1.44 ,1.35 ,1.39 ,1.30 ,1.31 ,1.32 ,1.37 ,1.32 ,1.32 ,1.33 
A;TOTFERRT;CZ,1.51 ,1.51 ,1.51 ,1.43 ,1.45 ,1.46 ,1.53 ,1.57 ,1.63 ,1.69 ,1.71 ,1.71 
A;TOTFERRT;DE,1.38 ,1.36 ,1.39 ,1.39 b,1.41 ,1.42 ,1.47 ,1.50 ,1.60 ,1.57 ,1.57 ,1.54 
A;TOTFERRT;DK,1.89 ,1.84 ,1.87 ,1.75 ,1.73 ,1.67 ,1.69 ,1.71 ,1.79 ,1.75 ,1.73 ,1.70 
